Dataset	Domain	Score	Sent1	Sent2
STS2016-gold	question-question		Do we NEED to help a baby learn how to self-sooth? And how long can it take?	How much do I need to sleep?
STS2016-gold	question-question		What is the difference between an electronic and a magnetic ballast?	What is the difference between portamento and glissando?
STS2016-gold	question-question		Is it appropriate to call a professor for a recommendation on the weekend?	Is it appropriate to ask a professor via e-mail for a letter of recommendation?
STS2016-gold	question-question	2	What could be causing water pressure to build up after changing my under sink filter?	What could be causing water to back up into my bathroom basin?
STS2016-gold	question-question		Can I use romex in my unfinished, detached garage or should I use MC?	Can I use Romex in an unfinished basement or attic?
STS2016-gold	question-question		Why are Cinnabons so soft and moist?	Why is my bread so dense and moist?
STS2016-gold	question-question		U.S. income tax & charitable donations: How much is income tax reduced by donations?	Canadian income tax & charitable donations: How much is income tax reduced by donations?
STS2016-gold	question-question	0	Where can I find a good vocabulary list?	Where can I find a complete list of Freddie Green chords?
STS2016-gold	question-question		What is the best way to toast pecans?	What is the best way to cite an anonymous writer?
STS2016-gold	question-question	3	Glue underlayment to concrete: how long does it take to cure?	How long should it take concrete to fully cure?
STS2016-gold	question-question		How do I ask my boss to pay for an expense?	My boss wants to buy me a gift. How do I account for taxes for this?
STS2016-gold	question-question		When is it a remix, and when is it a cover?	When is MSG suitable and when is it not?
STS2016-gold	question-question		How do you teach a toddler not to share?	How do I teach my toddler not to stuff her cheeks with food?
STS2016-gold	question-question		How long will a balsamic reduction keep?	How long will cold brew keep?
STS2016-gold	question-question		What is the difference between mono and stereo?	What is the difference between a filler word and a discourse marker?
STS2016-gold	question-question	4	Does this beginning hook the reader?	Does my story beginning hook the reader? (dialogue + narration)?
STS2016-gold	question-question		How do I stop my daughter from hitting another child?	How can I stop my pie from burning?
STS2016-gold	question-question	4	How can I remove a really stuck screw?	How can I remove this screw?
STS2016-gold	question-question		How do you remove mold from a tent?	How to remove mold from Styrofoam ceiling tiles?
STS2016-gold	question-question	3	Is it better to request a recommendation letter in person after class or by email?	Is it appropriate to ask a professor via e-mail for a letter of recommendation?
STS2016-gold	question-question		What are some good strength exercises for marathon runners?	What are some good alternative shoes for strength training?
STS2016-gold	question-question		Should I go for an interview if I feel I am not prepared?	Should I appear in a test, if I have not completely prepared for it?
STS2016-gold	question-question		How to get from Rzeszów to Lviv?	How to go from Gilimanuk to Denpasar?
STS2016-gold	question-question		Which is the cheapest ferry to Jeju in South Korea?	Which ferry from China to South Korea is the cheapest?
STS2016-gold	question-question		How should I patch a large hole in brick?	How do I patch a large hole in plaster and lath?
STS2016-gold	question-question		Can I repair a plaster ceiling with drywall?	How can I smooth out a poor drywall repair?
STS2016-gold	question-question		What is the difference between an amp and a head?	What is the difference between portamento and glissando?
STS2016-gold	question-question		what is the difference between Erebor and Moria?	What is the difference between splicing and superimposition?
STS2016-gold	question-question		What should I look for in a new car (automobile)?	What should I look for in a running shoe?
STS2016-gold	question-question		How do I retrofit a junction box in an insulated wall?	How do I seal an electrical box for a ceiling fan?
STS2016-gold	question-question		How can I remove old tea stain from carpet/rug?	How can I remove a coffee stain from carpet?
STS2016-gold	question-question		What olive is a good taste substitute for Kalamata?	What would be a good substitute for Rice Wine?
STS2016-gold	question-question		How should I make a budget?	How high should I make my yurt platform?
STS2016-gold	question-question		Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a visa to transit in the Schengen area?
STS2016-gold	question-question		My name was misspelled in a citation, what should I do?	For publications, what do I do when my first name is abbreviated?
STS2016-gold	question-question	2	What can I eat the night before to help me get up in the morning?	What trigger do you use to get up early in the morning?
STS2016-gold	question-question	3	I have a Schengen visa but my UAE Residence visa cancelled. Can I still travel then?	Can I travel to the UK if my Schengen visa expired?
STS2016-gold	question-question	4	What could be causing my GFCI to trip?	What could be causing GFCI breakers and receptacles to trip?
STS2016-gold	question-question		How can I locate and repair a leak?	How can I repair a ground-fault?
STS2016-gold	question-question	2	How do I convert a ceiling fan with 2 separate wall switches to a separate fan & light switch?	How do I wire 2 switches to control a ceiling light?
STS2016-gold	question-question	1	How long does cooked TVP keep in the fridge?	How long will uncooked chicken keep in the fridge?
STS2016-gold	question-question	4	How can I get my colleagues to stop interrupting me?	How can I get my colleague to stop calling me over to his desk when he wants my help?
